Estudiante_ID,Edad,Genero,Comuna,Nota_Matemáticas,Nota_Lenguaje,Nota_Ciencias
1,29,prefiero no decirlo,Hualpén,15,53,30
2,26,masculino,Concepción,96,72,6
3,29,prefiero no decirlo,Arauco,64,44,87
4,23,femenino,Arauco,21,64,42
5,21,femenino,Coronel,67,97,46
6,25,femenino,Hualpén,34,18,29
7,22,prefiero no decirlo,Hualpén,68,70,60
8,21,prefiero no decirlo,Tomé,34,8,96
9,29,masculino,Coronel,84,67,76
10,25,femenino,Arauco,46,5,95
11,24,femenino,Penco,50,44,75
12,24,prefiero no decirlo,Concepción,94,39,76
13,27,masculino,Tomé,89,48,7
14,27,femenino,Penco,22,35,24
15,19,prefiero no decirlo,Lota,17,1,99
16,23,femenino,Coronel,25,46,51
17,22,masculino,Concepción,10,68,26
18,28,masculino,Arauco,40,83,28
19,22,femenino,Lota,62,12,39
20,29,masculino,Concepción,38,26,84
21,27,masculino,Coronel,67,6,61
22,29,masculino,Penco,81,26,54
23,24,masculino,Penco,43,60,88
24,27,masculino,Coronel,54,44,5
25,22,prefiero no decirlo,Hualpén,33,55,62
26,29,prefiero no decirlo,Arauco,35,93,52
27,21,prefiero no decirlo,Concepción,67,98,18
28,26,femenino,Hualpén,13,3,98
29,22,femenino,San Pedro,13,46,24
30,23,prefiero no decirlo,Coronel,56,44,51
31,20,prefiero no decirlo,Arauco,64,7,92
32,23,femenino,Tomé,14,40,70
33,19,femenino,Penco,57,17,69
34,25,prefiero no decirlo,Coronel,47,80,12
35,26,masculino,Lota,72,27,89
36,27,prefiero no decirlo,Lota,26,60,28
37,26,prefiero no decirlo,Tomé,2,89,28
38,18,masculino,Arauco,91,82,57
39,23,femenino,San Pedro,34,2,54
40,23,femenino,Arauco,77,24,65
41,19,prefiero no decirlo,Lota,91,14,85
42,20,femenino,Concepción,62,82,97
43,24,prefiero no decirlo,Lota,15,75,39
44,28,masculino,Coronel,98,91,17
45,26,femenino,Concepción,11,11,98
46,29,masculino,Lota,73,53,73
47,22,prefiero no decirlo,San Pedro,7,90,65
48,25,masculino,Arauco,35,20,63
49,19,prefiero no decirlo,Tomé,31,90,74
50,25,masculino,Penco,65,6,16
51,24,masculino,Penco,25,51,17
52,19,prefiero no decirlo,Coronel,47,76,97
53,18,femenino,Arauco,3,60,67
54,28,femenino,Tomé,92,69,88
55,27,femenino,Lota,70,38,89
56,24,masculino,Penco,22,13,51
57,20,femenino,Coronel,98,87,74
58,26,prefiero no decirlo,Penco,19,97,68
59,25,masculino,Concepción,21,46,55
60,23,prefiero no decirlo,Lota,90,45,72
61,29,femenino,San Pedro,92,34,47
62,23,femenino,Penco,24,18,43
63,27,femenino,Penco,84,79,40
64,21,masculino,San Pedro,41,90,60
65,23,prefiero no decirlo,Coronel,50,78,80
66,27,prefiero no decirlo,Tomé,16,89,59
67,26,prefiero no decirlo,San Pedro,71,98,37
68,26,masculino,Arauco,83,73,79
69,20,masculino,San Pedro,14,99,60
70,23,femenino,Tomé,23,87,3
71,28,prefiero no decirlo,Hualpén,80,6,84
72,26,masculino,Hualpén,99,15,35
73,24,femenino,Coronel,30,20,34
74,25,femenino,Tomé,60,12,53
75,29,prefiero no decirlo,Hualpén,45,53,76
76,24,femenino,Coronel,69,93,48
77,19,masculino,Arauco,98,29,18
78,18,masculino,Hualpén,30,35,29
79,25,femenino,Hualpén,21,79,89
80,20,femenino,Coronel,54,45,34
81,25,femenino,Arauco,18,59,85
82,21,prefiero no decirlo,San Pedro,11,43,72
83,29,femenino,Arauco,24,80,36
84,29,femenino,Arauco,84,12,60
85,19,prefiero no decirlo,San Pedro,20,12,34
86,29,prefiero no decirlo,Coronel,4,92,44
87,23,femenino,Concepción,37,21,86
88,18,femenino,Concepción,29,55,35
89,23,femenino,Lota,31,56,13
90,18,masculino,San Pedro,75,41,29
91,28,femenino,Tomé,78,30,21
92,20,femenino,Arauco,80,62,19
93,26,prefiero no decirlo,Concepción,83,93,40
94,29,prefiero no decirlo,San Pedro,50,89,19
95,18,femenino,Penco,63,71,90
96,28,masculino,Coronel,4,98,85
97,20,masculino,Concepción,38,91,26
98,19,masculino,Coronel,90,21,85
99,18,masculino,Coronel,31,26,45
100,23,masculino,Tomé,58,2,90
101,24,prefiero no decirlo,Coronel,6,62,24
102,21,femenino,Arauco,53,25,3
103,22,femenino,San Pedro,78,93,16
104,25,prefiero no decirlo,Lota,18,23,96
105,20,prefiero no decirlo,Hualpén,35,3,46
106,24,prefiero no decirlo,San Pedro,2,60,54
107,28,femenino,Tomé,5,85,12
108,26,masculino,Lota,40,44,82
109,25,prefiero no decirlo,San Pedro,17,49,32
110,21,prefiero no decirlo,Hualpén,85,79,30
111,19,prefiero no decirlo,Tomé,32,66,84
112,19,masculino,Arauco,86,20,30
113,29,masculino,San Pedro,95,22,10
114,29,prefiero no decirlo,Concepción,88,7,4
115,26,femenino,Arauco,92,83,46
116,23,masculino,Tomé,69,34,82
117,23,prefiero no decirlo,Lota,21,70,62
118,21,masculino,Lota,86,45,3
119,26,prefiero no decirlo,Arauco,94,14,42
120,18,prefiero no decirlo,Penco,67,48,13
121,25,prefiero no decirlo,Concepción,58,8,92
122,26,masculino,Tomé,42,44,56
123,20,prefiero no decirlo,Lota,97,52,22
124,22,femenino,Concepción,13,77,82
125,29,prefiero no decirlo,Hualpén,34,90,13
126,28,prefiero no decirlo,Concepción,10,82,67
127,23,prefiero no decirlo,Coronel,16,70,96
128,27,masculino,Penco,28,21,89
129,24,femenino,Coronel,98,17,16
130,26,masculino,Coronel,60,20,89
131,18,masculino,Concepción,41,38,83
132,18,masculino,Tomé,37,63,27
133,21,prefiero no decirlo,Penco,5,59,53
134,23,masculino,Concepción,66,23,95
135,26,prefiero no decirlo,Arauco,34,90,35
136,19,prefiero no decirlo,Hualpén,89,87,40
137,23,masculino,Hualpén,87,38,33
138,29,prefiero no decirlo,Penco,54,80,10
139,25,prefiero no decirlo,Concepción,76,19,65
140,19,prefiero no decirlo,Concepción,69,64,11
141,21,femenino,Hualpén,67,32,20
142,20,femenino,Coronel,24,34,62
143,28,femenino,Coronel,21,35,93
144,18,prefiero no decirlo,Lota,62,10,6
145,29,masculino,Concepción,5,60,88
146,28,femenino,Concepción,67,55,34
147,26,masculino,Concepción,61,82,6
148,24,femenino,Concepción,77,54,30
149,27,femenino,Concepción,16,47,3
150,23,prefiero no decirlo,Concepción,19,98,22
151,24,femenino,Hualpén,47,96,34
152,28,femenino,Coronel,2,82,85
153,23,prefiero no decirlo,Concepción,36,98,21
154,29,prefiero no decirlo,Hualpén,22,45,49
155,28,prefiero no decirlo,Arauco,40,42,93
156,22,masculino,Penco,96,26,46
157,25,masculino,Arauco,35,59,13
158,20,prefiero no decirlo,Penco,70,92,51
159,23,femenino,Hualpén,91,61,46
160,25,femenino,Hualpén,2,34,61
161,25,prefiero no decirlo,Lota,63,80,68
162,19,femenino,Penco,83,33,32
163,29,femenino,San Pedro,35,80,6
164,19,prefiero no decirlo,Penco,56,18,36
165,22,masculino,Concepción,9,54,70
166,19,femenino,Lota,20,73,19
167,27,prefiero no decirlo,Arauco,16,47,91
168,25,femenino,San Pedro,19,53,91
169,25,masculino,San Pedro,23,40,71
170,18,prefiero no decirlo,Tomé,29,22,16
171,18,prefiero no decirlo,Lota,91,47,96
172,19,femenino,San Pedro,15,22,5
173,20,masculino,Tomé,50,74,41
174,24,masculino,Concepción,88,72,67
175,26,masculino,Tomé,76,3,13
176,22,masculino,Hualpén,24,7,37
177,21,prefiero no decirlo,Coronel,95,97,68
178,23,masculino,Tomé,83,10,7
179,19,masculino,Tomé,81,25,36
180,20,prefiero no decirlo,Penco,20,72,94
181,18,femenino,Hualpén,31,50,19
182,29,prefiero no decirlo,Coronel,96,54,81
183,19,femenino,San Pedro,25,81,13
184,29,femenino,Penco,67,47,24
185,29,femenino,Hualpén,7,64,80
186,22,masculino,Coronel,32,35,22
187,24,masculino,Hualpén,54,92,20
188,21,prefiero no decirlo,Penco,93,79,60
189,22,masculino,Tomé,55,36,50
190,21,femenino,Tomé,35,89,72
191,24,masculino,Tomé,5,86,54
192,19,prefiero no decirlo,Penco,73,47,43
193,22,prefiero no decirlo,Hualpén,28,60,11
194,25,masculino,San Pedro,23,40,74
195,25,femenino,Hualpén,8,47,36
196,19,femenino,San Pedro,24,28,6
197,26,femenino,Arauco,95,15,43
198,26,prefiero no decirlo,Concepción,39,37,56
199,20,femenino,Arauco,18,56,42
200,26,masculino,Concepción,97,38,69
201,19,prefiero no decirlo,Concepción,80,31,7
202,29,prefiero no decirlo,Concepción,58,43,18
203,28,masculino,Lota,51,45,46
204,26,prefiero no decirlo,Lota,73,85,72
205,21,prefiero no decirlo,Arauco,93,25,61
206,25,femenino,San Pedro,93,9,23
207,25,masculino,Hualpén,59,92,13
208,27,masculino,Coronel,53,83,21
209,23,masculino,Hualpén,2,11,81
210,24,prefiero no decirlo,Arauco,76,16,94
211,19,femenino,Penco,22,79,87
212,25,femenino,San Pedro,84,89,62
213,26,prefiero no decirlo,Penco,60,13,67
214,26,masculino,Arauco,39,42,63
215,22,prefiero no decirlo,San Pedro,5,47,35
216,20,masculino,Lota,1,19,6
217,24,femenino,Penco,58,58,2
218,19,femenino,Lota,23,95,54
219,20,femenino,Tomé,2,4,88
220,18,masculino,Concepción,74,62,27
221,25,prefiero no decirlo,Arauco,90,39,4
